Nama Kost,Jenis Kost,Daerah_Clean,Harga_Angka,Fasilitas_AC,Fasilitas_WiFi,Fasilitas_K_Mandi_Dalam,Fasilitas_Kloset_Duduk,Fasilitas_Kasur,Fasilitas_Akses_24_Jam
Kost Arum,Putri,Lowokwaru,2000000,1,1,1,1,1,0
Kost Gendhis,Putra,Pakis,750000,0,1,1,1,1,1
Kost Adelinn Tipe B,Putri,Lowokwaru,765000,0,1,0,1,1,0
Kost Casa Hrj 1 Vip,Putra,Lowokwaru,1700000,1,1,1,1,1,1
Kost Griya 74 Tipe A,Putri,Sukun,465000,0,1,0,1,1,1
Kost Griya Shanta 1,Putra,Lowokwaru,1100000,0,1,1,1,1,1
Kost Gtr Tipe A Standart,Putra,Sukun,600000,0,1,0,1,1,1
Kost As Sakinah Executive,Putri,Sukun,1100000,0,1,1,1,1,1
Kost Izy,Putri,Lowokwaru,900000,0,1,0,1,1,0
Kost Muhammad Choirul Anam,Putra,Sukun,650000,0,1,0,0,1,1
Kost Happy Standart,Putra,Karang Ploso,900000,0,1,1,1,1,1
Kost Manggar Tipe B,Putri,Lowokwaru,800000,0,1,1,0,1,0
Kost Indrakila,Putri,Lowokwaru,700000,0,1,0,1,1,1
Kost Gse M336 Executive,Putra,Lowokwaru,1700000,1,1,0,1,1,0
Kost RSSA,Putri,Klojen,700000,0,1,0,0,1,1
Kost Mami Tipe B,Putra,Lowokwaru,905000,0,1,1,1,1,1
Kost Griyashanta L 230 Tipe A,Putri,Lowokwaru,950000,0,1,1,1,1,1
Kost Nest Sigura VIP Ac,Putra,Lowokwaru,2300000,1,1,1,1,1,0
Kost Bell Meer Tipe A,Putri,Lowokwaru,950000,0,1,1,1,1,0
Kost Joyosuko Metro 7 Tipe A,Putri,Lowokwaru,597000,0,1,0,0,1,1
Kost Arum,Putri,Lowokwaru,2000000,1,1,1,1,1,0
Kost Gendhis,Putra,Pakis,750000,0,1,1,1,1,1
Kost Adelinn Tipe B,Putri,Lowokwaru,765000,0,1,0,1,1,0
Kost Casa Hrj 1 Vip,Putra,Lowokwaru,1700000,1,1,1,1,1,1
Kost Griya 74 Tipe A,Putri,Sukun,465000,0,1,0,1,1,1
Kost Griya Shanta 1,Putra,Lowokwaru,1100000,0,1,1,1,1,1
Kost Gtr Tipe A Standart,Putra,Sukun,600000,0,1,0,1,1,1
Kost As Sakinah Executive,Putri,Sukun,1100000,0,1,1,1,1,1
Kost Izy,Putri,Lowokwaru,900000,0,1,0,1,1,0
Kost Muhammad Choirul Anam,Putra,Sukun,650000,0,1,0,0,1,1
Kost Happy Standart,Putra,Karang Ploso,900000,0,1,1,1,1,1
Kost Manggar Tipe B,Putri,Lowokwaru,800000,0,1,1,0,1,0
Kost Indrakila,Putri,Lowokwaru,700000,0,1,0,1,1,1
Kost Gse M336 Executive,Putra,Lowokwaru,1700000,1,1,0,1,1,0
Kost RSSA,Putri,Klojen,700000,0,1,0,0,1,1
Kost Mami Tipe B,Putra,Lowokwaru,905000,0,1,1,1,1,1
Kost Griyashanta L 230 Tipe A,Putri,Lowokwaru,950000,0,1,1,1,1,1
Kost Nest Sigura VIP Ac,Putra,Lowokwaru,2300000,1,1,1,1,1,0
Kost Bell Meer Tipe A,Putri,Lowokwaru,950000,0,1,1,1,1,0
Kost Joyosuko Metro 7 Tipe A,Putri,Lowokwaru,597000,0,1,0,0,1,1
Kost Arum,Putri,Lowokwaru,2000000,1,1,1,1,1,0
Kost Gendhis,Putra,Pakis,750000,0,1,1,1,1,1
Kost Adelinn Tipe B,Putri,Lowokwaru,765000,0,1,0,1,1,0
Kost Casa Hrj 1 Vip,Putra,Lowokwaru,1700000,1,1,1,1,1,1
Kost Griya 74 Tipe A,Putri,Sukun,465000,0,1,0,1,1,1
Kost Griya Shanta 1,Putra,Lowokwaru,1100000,0,1,1,1,1,1
Kost Gtr Tipe A Standart,Putra,Sukun,600000,0,1,0,1,1,1
Kost As Sakinah Executive,Putri,Sukun,1100000,0,1,1,1,1,1
Kost Izy,Putri,Lowokwaru,900000,0,1,0,1,1,0
Kost Muhammad Choirul Anam,Putra,Sukun,650000,0,1,0,0,1,1
Kost Happy Standart,Putra,Karang Ploso,900000,0,1,1,1,1,1
Kost Manggar Tipe B,Putri,Lowokwaru,800000,0,1,1,0,1,0
Kost Indrakila,Putri,Lowokwaru,700000,0,1,0,1,1,1
Kost Gse M336 Executive,Putra,Lowokwaru,1700000,1,1,0,1,1,0
Kost RSSA,Putri,Klojen,700000,0,1,0,0,1,1
Kost Mami Tipe B,Putra,Lowokwaru,905000,0,1,1,1,1,1
Kost Griyashanta L 230 Tipe A,Putri,Lowokwaru,950000,0,1,1,1,1,1
Kost Nest Sigura VIP Ac,Putra,Lowokwaru,2300000,1,1,1,1,1,0
Kost Bell Meer Tipe A,Putri,Lowokwaru,950000,0,1,1,1,1,0
Kost Joyosuko Metro 7 Tipe A,Putri,Lowokwaru,597000,0,1,0,0,1,1
Kost Arum,Putri,Lowokwaru,2000000,1,1,1,1,1,0
Kost Gendhis,Putra,Pakis,750000,0,1,1,1,1,1
Kost Adelinn Tipe B,Putri,Lowokwaru,765000,0,1,0,1,1,0
Kost Casa Hrj 1 Vip,Putra,Lowokwaru,1700000,1,1,1,1,1,1
Kost Griya 74 Tipe A,Putri,Sukun,465000,0,1,0,1,1,1
Kost Griya Shanta 1,Putra,Lowokwaru,1100000,0,1,1,1,1,1
Kost Gtr Tipe A Standart,Putra,Sukun,600000,0,1,0,1,1,1
Kost As Sakinah Executive,Putri,Sukun,1100000,0,1,1,1,1,1
Kost Izy,Putri,Lowokwaru,900000,0,1,0,1,1,0
Kost Muhammad Choirul Anam,Putra,Sukun,650000,0,1,0,0,1,1
Kost Happy Standart,Putra,Karang Ploso,900000,0,1,1,1,1,1
Kost Manggar Tipe B,Putri,Lowokwaru,800000,0,1,1,0,1,0
Kost Indrakila,Putri,Lowokwaru,700000,0,1,0,1,1,1
Kost Gse M336 Executive,Putra,Lowokwaru,1700000,1,1,0,1,1,0
Kost RSSA,Putri,Klojen,700000,0,1,0,0,1,1
Kost Mami Tipe B,Putra,Lowokwaru,905000,0,1,1,1,1,1
Kost Griyashanta L 230 Tipe A,Putri,Lowokwaru,950000,0,1,1,1,1,1
Kost Nest Sigura VIP Ac,Putra,Lowokwaru,2300000,1,1,1,1,1,0
Kost Bell Meer Tipe A,Putri,Lowokwaru,950000,0,1,1,1,1,0
Kost Joyosuko Metro 7 Tipe A,Putri,Lowokwaru,597000,0,1,0,0,1,1
Kost Arum,Putri,Lowokwaru,2000000,1,1,1,1,1,0
Kost Gendhis,Putra,Pakis,750000,0,1,1,1,1,1
Kost Adelinn Tipe B,Putri,Lowokwaru,765000,0,1,0,1,1,0
Kost Casa Hrj 1 Vip,Putra,Lowokwaru,1700000,1,1,1,1,1,1
Kost Griya 74 Tipe A,Putri,Sukun,465000,0,1,0,1,1,1
Kost Griya Shanta 1,Putra,Lowokwaru,1100000,0,1,1,1,1,1
Kost Gtr Tipe A Standart,Putra,Sukun,600000,0,1,0,1,1,1
Kost As Sakinah Executive,Putri,Sukun,1100000,0,1,1,1,1,1
Kost Izy,Putri,Lowokwaru,900000,0,1,0,1,1,0
Kost Muhammad Choirul Anam,Putra,Sukun,650000,0,1,0,0,1,1
Kost Happy Standart,Putra,Karang Ploso,900000,0,1,1,1,1,1
Kost Manggar Tipe B,Putri,Lowokwaru,800000,0,1,1,0,1,0
Kost Indrakila,Putri,Lowokwaru,700000,0,1,0,1,1,1
Kost Gse M336 Executive,Putra,Lowokwaru,1700000,1,1,0,1,1,0
Kost RSSA,Putri,Klojen,700000,0,1,0,0,1,1
Kost Mami Tipe B,Putra,Lowokwaru,905000,0,1,1,1,1,1
Kost Griyashanta L 230 Tipe A,Putri,Lowokwaru,950000,0,1,1,1,1,1
Kost Nest Sigura VIP Ac,Putra,Lowokwaru,2300000,1,1,1,1,1,0
Kost Bell Meer Tipe A,Putri,Lowokwaru,950000,0,1,1,1,1,0
Kost Joyosuko Metro 7 Tipe A,Putri,Lowokwaru,597000,0,1,0,0,1,1
Kost Arum,Putri,Lowokwaru,2000000,1,1,1,1,1,0
Kost Gendhis,Putra,Pakis,750000,0,1,1,1,1,1
Kost Adelinn Tipe B,Putri,Lowokwaru,765000,0,1,0,1,1,0
Kost Casa Hrj 1 Vip,Putra,Lowokwaru,1700000,1,1,1,1,1,1
Kost Griya 74 Tipe A,Putri,Sukun,465000,0,1,0,1,1,1
Kost Griya Shanta 1,Putra,Lowokwaru,1100000,0,1,1,1,1,1
Kost Gtr Tipe A Standart,Putra,Sukun,600000,0,1,0,1,1,1
Kost As Sakinah Executive,Putri,Sukun,1100000,0,1,1,1,1,1
Kost Izy,Putri,Lowokwaru,900000,0,1,0,1,1,0
Kost Muhammad Choirul Anam,Putra,Sukun,650000,0,1,0,0,1,1
Kost Happy Standart,Putra,Karang Ploso,900000,0,1,1,1,1,1
Kost Manggar Tipe B,Putri,Lowokwaru,800000,0,1,1,0,1,0
Kost Indrakila,Putri,Lowokwaru,700000,0,1,0,1,1,1
Kost Gse M336 Executive,Putra,Lowokwaru,1700000,1,1,0,1,1,0
Kost RSSA,Putri,Klojen,700000,0,1,0,0,1,1
Kost Mami Tipe B,Putra,Lowokwaru,905000,0,1,1,1,1,1
Kost Griyashanta L 230 Tipe A,Putri,Lowokwaru,950000,0,1,1,1,1,1
Kost Nest Sigura VIP Ac,Putra,Lowokwaru,2300000,1,1,1,1,1,0
Kost Bell Meer Tipe A,Putri,Lowokwaru,950000,0,1,1,1,1,0
Kost Joyosuko Metro 7 Tipe A,Putri,Lowokwaru,597000,0,1,0,0,1,1
Kost Arum,Putri,Lowokwaru,2000000,1,1,1,1,1,0
Kost Gendhis,Putra,Pakis,750000,0,1,1,1,1,1
Kost Adelinn Tipe B,Putri,Lowokwaru,765000,0,1,0,1,1,0
Kost Casa Hrj 1 Vip,Putra,Lowokwaru,1700000,1,1,1,1,1,1
Kost Griya 74 Tipe A,Putri,Sukun,465000,0,1,0,1,1,1
Kost Griya Shanta 1,Putra,Lowokwaru,1100000,0,1,1,1,1,1
Kost Gtr Tipe A Standart,Putra,Sukun,600000,0,1,0,1,1,1
Kost As Sakinah Executive,Putri,Sukun,1100000,0,1,1,1,1,1
Kost Izy,Putri,Lowokwaru,900000,0,1,0,1,1,0
Kost Muhammad Choirul Anam,Putra,Sukun,650000,0,1,0,0,1,1
Kost Happy Standart,Putra,Karang Ploso,900000,0,1,1,1,1,1
Kost Manggar Tipe B,Putri,Lowokwaru,800000,0,1,1,0,1,0
Kost Indrakila,Putri,Lowokwaru,700000,0,1,0,1,1,1
Kost Gse M336 Executive,Putra,Lowokwaru,1700000,1,1,0,1,1,0
Kost RSSA,Putri,Klojen,700000,0,1,0,0,1,1
Kost Mami Tipe B,Putra,Lowokwaru,905000,0,1,1,1,1,1
Kost Griyashanta L 230 Tipe A,Putri,Lowokwaru,950000,0,1,1,1,1,1
Kost Nest Sigura VIP Ac,Putra,Lowokwaru,2300000,1,1,1,1,1,0
Kost Bell Meer Tipe A,Putri,Lowokwaru,950000,0,1,1,1,1,0
Kost Joyosuko Metro 7 Tipe A,Putri,Lowokwaru,597000,0,1,0,0,1,1
Kost Arum,Putri,Lowokwaru,2000000,1,1,1,1,1,0
Kost Gendhis,Putra,Pakis,750000,0,1,1,1,1,1
Kost Adelinn Tipe B,Putri,Lowokwaru,765000,0,1,0,1,1,0
Kost Casa Hrj 1 Vip,Putra,Lowokwaru,1700000,1,1,1,1,1,1
Kost Griya 74 Tipe A,Putri,Sukun,465000,0,1,0,1,1,1
Kost Griya Shanta 1,Putra,Lowokwaru,1100000,0,1,1,1,1,1
Kost Gtr Tipe A Standart,Putra,Sukun,600000,0,1,0,1,1,1
Kost As Sakinah Executive,Putri,Sukun,1100000,0,1,1,1,1,1
Kost Izy,Putri,Lowokwaru,900000,0,1,0,1,1,0
Kost Muhammad Choirul Anam,Putra,Sukun,650000,0,1,0,0,1,1
Kost Happy Standart,Putra,Karang Ploso,900000,0,1,1,1,1,1
Kost Manggar Tipe B,Putri,Lowokwaru,800000,0,1,1,0,1,0
Kost Indrakila,Putri,Lowokwaru,700000,0,1,0,1,1,1
Kost Gse M336 Executive,Putra,Lowokwaru,1700000,1,1,0,1,1,0
Kost RSSA,Putri,Klojen,700000,0,1,0,0,1,1
Kost Mami Tipe B,Putra,Lowokwaru,905000,0,1,1,1,1,1
Kost Griyashanta L 230 Tipe A,Putri,Lowokwaru,950000,0,1,1,1,1,1
Kost Nest Sigura VIP Ac,Putra,Lowokwaru,2300000,1,1,1,1,1,0
Kost Bell Meer Tipe A,Putri,Lowokwaru,950000,0,1,1,1,1,0
Kost Joyosuko Metro 7 Tipe A,Putri,Lowokwaru,597000,0,1,0,0,1,1
Kost Arum,Putri,Lowokwaru,2000000,1,1,1,1,1,0
Kost Gendhis,Putra,Pakis,750000,0,1,1,1,1,1
Kost Adelinn Tipe B,Putri,Lowokwaru,765000,0,1,0,1,1,0
Kost Casa Hrj 1 Vip,Putra,Lowokwaru,1700000,1,1,1,1,1,1
Kost Griya 74 Tipe A,Putri,Sukun,465000,0,1,0,1,1,1
Kost Griya Shanta 1,Putra,Lowokwaru,1100000,0,1,1,1,1,1
Kost Gtr Tipe A Standart,Putra,Sukun,600000,0,1,0,1,1,1
Kost As Sakinah Executive,Putri,Sukun,1100000,0,1,1,1,1,1
Kost Izy,Putri,Lowokwaru,900000,0,1,0,1,1,0
Kost Muhammad Choirul Anam,Putra,Sukun,650000,0,1,0,0,1,1
Kost Happy Standart,Putra,Karang Ploso,900000,0,1,1,1,1,1
Kost Manggar Tipe B,Putri,Lowokwaru,800000,0,1,1,0,1,0
Kost Indrakila,Putri,Lowokwaru,700000,0,1,0,1,1,1
Kost Gse M336 Executive,Putra,Lowokwaru,1700000,1,1,0,1,1,0
Kost RSSA,Putri,Klojen,700000,0,1,0,0,1,1
Kost Mami Tipe B,Putra,Lowokwaru,905000,0,1,1,1,1,1
Kost Griyashanta L 230 Tipe A,Putri,Lowokwaru,950000,0,1,1,1,1,1
Kost Nest Sigura VIP Ac,Putra,Lowokwaru,2300000,1,1,1,1,1,0
Kost Bell Meer Tipe A,Putri,Lowokwaru,950000,0,1,1,1,1,0
Kost Joyosuko Metro 7 Tipe A,Putri,Lowokwaru,597000,0,1,0,0,1,1
Kost Arum,Putri,Lowokwaru,2000000,1,1,1,1,1,0
Kost Gendhis,Putra,Pakis,750000,0,1,1,1,1,1
Kost Adelinn Tipe B,Putri,Lowokwaru,765000,0,1,0,1,1,0
Kost Casa Hrj 1 Vip,Putra,Lowokwaru,1700000,1,1,1,1,1,1
Kost Griya 74 Tipe A,Putri,Sukun,465000,0,1,0,1,1,1
Kost Griya Shanta 1,Putra,Lowokwaru,1100000,0,1,1,1,1,1
Kost Gtr Tipe A Standart,Putra,Sukun,600000,0,1,0,1,1,1
Kost As Sakinah Executive,Putri,Sukun,1100000,0,1,1,1,1,1
Kost Izy,Putri,Lowokwaru,900000,0,1,0,1,1,0
Kost Muhammad Choirul Anam,Putra,Sukun,650000,0,1,0,0,1,1
Kost Happy Standart,Putra,Karang Ploso,900000,0,1,1,1,1,1
Kost Manggar Tipe B,Putri,Lowokwaru,800000,0,1,1,0,1,0
Kost Indrakila,Putri,Lowokwaru,700000,0,1,0,1,1,1
Kost Gse M336 Executive,Putra,Lowokwaru,1700000,1,1,0,1,1,0
Kost RSSA,Putri,Klojen,700000,0,1,0,0,1,1
Kost Mami Tipe B,Putra,Lowokwaru,905000,0,1,1,1,1,1
Kost Griyashanta L 230 Tipe A,Putri,Lowokwaru,950000,0,1,1,1,1,1
Kost Nest Sigura VIP Ac,Putra,Lowokwaru,2300000,1,1,1,1,1,0
Kost Bell Meer Tipe A,Putri,Lowokwaru,950000,0,1,1,1,1,0
Kost Joyosuko Metro 7 Tipe A,Putri,Lowokwaru,597000,0,1,0,0,1,1
Kost Arum,Putri,Lowokwaru,2000000,1,1,1,1,1,0
Kost Gendhis,Putra,Pakis,750000,0,1,1,1,1,1
Kost Adelinn Tipe B,Putri,Lowokwaru,765000,0,1,0,1,1,0
Kost Casa Hrj 1 Vip,Putra,Lowokwaru,1700000,1,1,1,1,1,1
Kost Griya 74 Tipe A,Putri,Sukun,465000,0,1,0,1,1,1
Kost Griya Shanta 1,Putra,Lowokwaru,1100000,0,1,1,1,1,1
Kost Gtr Tipe A Standart,Putra,Sukun,600000,0,1,0,1,1,1
Kost As Sakinah Executive,Putri,Sukun,1100000,0,1,1,1,1,1
Kost Izy,Putri,Lowokwaru,900000,0,1,0,1,1,0
Kost Muhammad Choirul Anam,Putra,Sukun,650000,0,1,0,0,1,1
Kost Happy Standart,Putra,Karang Ploso,900000,0,1,1,1,1,1
Kost Manggar Tipe B,Putri,Lowokwaru,800000,0,1,1,0,1,0
Kost Indrakila,Putri,Lowokwaru,700000,0,1,0,1,1,1
Kost Gse M336 Executive,Putra,Lowokwaru,1700000,1,1,0,1,1,0
Kost RSSA,Putri,Klojen,700000,0,1,0,0,1,1
Kost Mami Tipe B,Putra,Lowokwaru,905000,0,1,1,1,1,1
Kost Griyashanta L 230 Tipe A,Putri,Lowokwaru,950000,0,1,1,1,1,1
Kost Nest Sigura VIP Ac,Putra,Lowokwaru,2300000,1,1,1,1,1,0
Kost Bell Meer Tipe A,Putri,Lowokwaru,950000,0,1,1,1,1,0
Kost Joyosuko Metro 7 Tipe A,Putri,Lowokwaru,597000,0,1,0,0,1,1
Kost Arum,Putri,Lowokwaru,2000000,1,1,1,1,1,0
Kost Gendhis,Putra,Pakis,750000,0,1,1,1,1,1
Kost Adelinn Tipe B,Putri,Lowokwaru,765000,0,1,0,1,1,0
Kost Casa Hrj 1 Vip,Putra,Lowokwaru,1700000,1,1,1,1,1,1
Kost Griya 74 Tipe A,Putri,Sukun,465000,0,1,0,1,1,1
Kost Griya Shanta 1,Putra,Lowokwaru,1100000,0,1,1,1,1,1
Kost Gtr Tipe A Standart,Putra,Sukun,600000,0,1,0,1,1,1
Kost As Sakinah Executive,Putri,Sukun,1100000,0,1,1,1,1,1
Kost Izy,Putri,Lowokwaru,900000,0,1,0,1,1,0
Kost Muhammad Choirul Anam,Putra,Sukun,650000,0,1,0,0,1,1
Kost Happy Standart,Putra,Karang Ploso,900000,0,1,1,1,1,1
Kost Manggar Tipe B,Putri,Lowokwaru,800000,0,1,1,0,1,0
Kost Indrakila,Putri,Lowokwaru,700000,0,1,0,1,1,1
Kost Gse M336 Executive,Putra,Lowokwaru,1700000,1,1,0,1,1,0
Kost RSSA,Putri,Klojen,700000,0,1,0,0,1,1
Kost Mami Tipe B,Putra,Lowokwaru,905000,0,1,1,1,1,1
Kost Griyashanta L 230 Tipe A,Putri,Lowokwaru,950000,0,1,1,1,1,1
Kost Nest Sigura VIP Ac,Putra,Lowokwaru,2300000,1,1,1,1,1,0
Kost Bell Meer Tipe A,Putri,Lowokwaru,950000,0,1,1,1,1,0
Kost Joyosuko Metro 7 Tipe A,Putri,Lowokwaru,597000,0,1,0,0,1,1
Kost Arum,Putri,Lowokwaru,2000000,1,1,1,1,1,0
Kost Gendhis,Putra,Pakis,750000,0,1,1,1,1,1
Kost Adelinn Tipe B,Putri,Lowokwaru,765000,0,1,0,1,1,0
Kost Casa Hrj 1 Vip,Putra,Lowokwaru,1700000,1,1,1,1,1,1
Kost Griya 74 Tipe A,Putri,Sukun,465000,0,1,0,1,1,1
Kost Griya Shanta 1,Putra,Lowokwaru,1100000,0,1,1,1,1,1
Kost Gtr Tipe A Standart,Putra,Sukun,600000,0,1,0,1,1,1
Kost As Sakinah Executive,Putri,Sukun,1100000,0,1,1,1,1,1
Kost Izy,Putri,Lowokwaru,900000,0,1,0,1,1,0
Kost Muhammad Choirul Anam,Putra,Sukun,650000,0,1,0,0,1,1
Kost Happy Standart,Putra,Karang Ploso,900000,0,1,1,1,1,1
Kost Manggar Tipe B,Putri,Lowokwaru,800000,0,1,1,0,1,0
Kost Indrakila,Putri,Lowokwaru,700000,0,1,0,1,1,1
Kost Gse M336 Executive,Putra,Lowokwaru,1700000,1,1,0,1,1,0
Kost RSSA,Putri,Klojen,700000,0,1,0,0,1,1
Kost Mami Tipe B,Putra,Lowokwaru,905000,0,1,1,1,1,1
Kost Griyashanta L 230 Tipe A,Putri,Lowokwaru,950000,0,1,1,1,1,1
Kost Nest Sigura VIP Ac,Putra,Lowokwaru,2300000,1,1,1,1,1,0
Kost Bell Meer Tipe A,Putri,Lowokwaru,950000,0,1,1,1,1,0
Kost Joyosuko Metro 7 Tipe A,Putri,Lowokwaru,597000,0,1,0,0,1,1
Kost Arum,Putri,Lowokwaru,2000000,1,1,1,1,1,0
Kost Gendhis,Putra,Pakis,750000,0,1,1,1,1,1
Kost Adelinn Tipe B,Putri,Lowokwaru,765000,0,1,0,1,1,0
Kost Casa Hrj 1 Vip,Putra,Lowokwaru,1700000,1,1,1,1,1,1
Kost Griya 74 Tipe A,Putri,Sukun,465000,0,1,0,1,1,1
Kost Griya Shanta 1,Putra,Lowokwaru,1100000,0,1,1,1,1,1
Kost Gtr Tipe A Standart,Putra,Sukun,600000,0,1,0,1,1,1
Kost As Sakinah Executive,Putri,Sukun,1100000,0,1,1,1,1,1
Kost Izy,Putri,Lowokwaru,900000,0,1,0,1,1,0
Kost Muhammad Choirul Anam,Putra,Sukun,650000,0,1,0,0,1,1
